year,avg_temp
1845,25.97
1846,26.99
1847,26.36
1848,26.37
1849,26.42
1850,26.30
1851,26.48
1852,26.45
1853,26.47
1854,26.61
1855,26.67
1856,26.25
1857,
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,
1871,
1872,
1873,
1874,
1875,
1876,
1877,
1878,
1879,
1880,
1881,
1882,
1883,
1884,
1885,
1886,
1887,26.33
1888,26.55
1889,26.70
1890,26.39
1891,26.31
1892,26.38
1893,26.27
1894,26.57
1895,26.51
1896,26.63
1897,26.36
1898,26.81
1899,25.96
1900,27.31
1901,26.82
1902,26.81
1903,26.84
1904,26.19
1905,26.58
1906,26.43
1907,26.83
1908,27.26
1909,27.03
1910,26.61
1911,26.63
1912,26.35
1913,26.37
1914,26.54
1915,27.82
1916,26.48
1917,26.01
1918,26.54
1919,27.41
1920,26.81
1921,26.31
1922,26.43
1923,26.57
1924,26.25
1925,26.52
1926,26.82
1927,26.93
1928,27.18
1929,26.73
1930,27.04
1931,27.41
1932,27.58
1933,26.99
1934,26.57
1935,26.72
1936,27.01
1937,27.29
1938,27.06
1939,26.97
1940,26.79
1941,27.42
1942,27.49
1943,26.86
1944,26.69
1945,26.66
1946,26.92
1947,26.84
1948,26.89
1949,26.84
1950,26.61
1951,27.27
1952,27.13
1953,27.33
1954,27.10
1955,26.91
1956,26.94
1957,27.01
1958,27.70
1959,27.03
1960,27.09
1961,27.08
1962,27.35
1963,26.97
1964,26.57
1965,27.01
1966,27.30
1967,26.78
1968,26.87
1969,27.21
1970,27.59
1971,26.91
1972,27.41
1973,27.24
1974,26.45
1975,26.86
1976,26.99
1977,26.97
1978,26.90
1979,27.19
1980,27.32
1981,27.46
1982,27.37
1983,28.07
1984,27.15
1985,26.62
1986,26.96
1987,27.79
1988,27.41
1989,27.06
1990,27.65
1991,27.34
1992,27.58
1993,28.18
1994,27.53
1995,27.52
1996,27.60
1997,27.85
1998,28.76
1999,27.64
2000,27.50
2001,27.69
2002,27.85
2003,27.86
2004,27.72
2005,28.17
2006,27.76
2007,27.92
2008,27.54
2009,27.39
2010,28.18
2011,27.36
2012,28.21
2013,27.71
