year,city,country,avg_temp
1838,Guadalajara,Mexico,19.56
1839,Guadalajara,Mexico,19.90
1840,Guadalajara,Mexico,
1841,Guadalajara,Mexico,
1842,Guadalajara,Mexico,
1843,Guadalajara,Mexico,20.57
1844,Guadalajara,Mexico,19.98
1845,Guadalajara,Mexico,19.86
1846,Guadalajara,Mexico,20.60
1847,Guadalajara,Mexico,17.36
1848,Guadalajara,Mexico,
1849,Guadalajara,Mexico,20.64
1850,Guadalajara,Mexico,20.48
1851,Guadalajara,Mexico,20.44
1852,Guadalajara,Mexico,20.58
1853,Guadalajara,Mexico,20.20
1854,Guadalajara,Mexico,20.13
1855,Guadalajara,Mexico,20.06
1856,Guadalajara,Mexico,19.93
1857,Guadalajara,Mexico,20.24
1858,Guadalajara,Mexico,20.60
1859,Guadalajara,Mexico,20.82
1860,Guadalajara,Mexico,20.23
1861,Guadalajara,Mexico,20.72
1862,Guadalajara,Mexico,20.53
1863,Guadalajara,Mexico,20.59
1864,Guadalajara,Mexico,20.43
1865,Guadalajara,Mexico,20.60
1866,Guadalajara,Mexico,20.74
1867,Guadalajara,Mexico,21.45
1868,Guadalajara,Mexico,20.66
1869,Guadalajara,Mexico,20.80
1870,Guadalajara,Mexico,20.62
1871,Guadalajara,Mexico,20.66
1872,Guadalajara,Mexico,20.55
1873,Guadalajara,Mexico,20.60
1874,Guadalajara,Mexico,20.61
1875,Guadalajara,Mexico,20.44
1876,Guadalajara,Mexico,20.38
1877,Guadalajara,Mexico,20.68
1878,Guadalajara,Mexico,20.99
1879,Guadalajara,Mexico,20.61
1880,Guadalajara,Mexico,20.26
1881,Guadalajara,Mexico,20.58
1882,Guadalajara,Mexico,20.31
1883,Guadalajara,Mexico,20.12
1884,Guadalajara,Mexico,20.36
1885,Guadalajara,Mexico,20.58
1886,Guadalajara,Mexico,20.28
1887,Guadalajara,Mexico,19.90
1888,Guadalajara,Mexico,20.13
1889,Guadalajara,Mexico,20.58
1890,Guadalajara,Mexico,20.31
1891,Guadalajara,Mexico,20.16
1892,Guadalajara,Mexico,20.46
1893,Guadalajara,Mexico,20.12
1894,Guadalajara,Mexico,20.43
1895,Guadalajara,Mexico,20.55
1896,Guadalajara,Mexico,21.02
1897,Guadalajara,Mexico,20.83
1898,Guadalajara,Mexico,20.19
1899,Guadalajara,Mexico,20.24
1900,Guadalajara,Mexico,20.73
1901,Guadalajara,Mexico,20.50
1902,Guadalajara,Mexico,20.64
1903,Guadalajara,Mexico,20.30
1904,Guadalajara,Mexico,20.12
1905,Guadalajara,Mexico,20.65
1906,Guadalajara,Mexico,20.51
1907,Guadalajara,Mexico,20.64
1908,Guadalajara,Mexico,20.86
1909,Guadalajara,Mexico,20.57
1910,Guadalajara,Mexico,20.31
1911,Guadalajara,Mexico,20.90
1912,Guadalajara,Mexico,20.29
1913,Guadalajara,Mexico,20.20
1914,Guadalajara,Mexico,20.46
1915,Guadalajara,Mexico,20.52
1916,Guadalajara,Mexico,20.75
1917,Guadalajara,Mexico,20.72
1918,Guadalajara,Mexico,20.66
1919,Guadalajara,Mexico,20.60
1920,Guadalajara,Mexico,20.68
1921,Guadalajara,Mexico,20.74
1922,Guadalajara,Mexico,21.03
1923,Guadalajara,Mexico,20.86
1924,Guadalajara,Mexico,20.50
1925,Guadalajara,Mexico,20.80
1926,Guadalajara,Mexico,20.82
1927,Guadalajara,Mexico,20.74
1928,Guadalajara,Mexico,20.99
1929,Guadalajara,Mexico,20.71
1930,Guadalajara,Mexico,21.20
1931,Guadalajara,Mexico,20.79
1932,Guadalajara,Mexico,20.95
1933,Guadalajara,Mexico,20.92
1934,Guadalajara,Mexico,20.72
1935,Guadalajara,Mexico,20.33
1936,Guadalajara,Mexico,21.20
1937,Guadalajara,Mexico,21.48
1938,Guadalajara,Mexico,20.89
1939,Guadalajara,Mexico,20.94
1940,Guadalajara,Mexico,21.32
1941,Guadalajara,Mexico,21.45
1942,Guadalajara,Mexico,21.25
1943,Guadalajara,Mexico,20.89
1944,Guadalajara,Mexico,20.78
1945,Guadalajara,Mexico,21.41
1946,Guadalajara,Mexico,21.50
1947,Guadalajara,Mexico,21.12
1948,Guadalajara,Mexico,21.60
1949,Guadalajara,Mexico,21.34
1950,Guadalajara,Mexico,21.29
1951,Guadalajara,Mexico,21.40
1952,Guadalajara,Mexico,21.29
1953,Guadalajara,Mexico,21.38
1954,Guadalajara,Mexico,21.48
1955,Guadalajara,Mexico,20.89
1956,Guadalajara,Mexico,20.93
1957,Guadalajara,Mexico,21.53
1958,Guadalajara,Mexico,21.06
1959,Guadalajara,Mexico,21.05
1960,Guadalajara,Mexico,21.00
1961,Guadalajara,Mexico,20.95
1962,Guadalajara,Mexico,20.95
1963,Guadalajara,Mexico,20.97
1964,Guadalajara,Mexico,20.82
1965,Guadalajara,Mexico,21.04
1966,Guadalajara,Mexico,20.88
1967,Guadalajara,Mexico,20.73
1968,Guadalajara,Mexico,20.73
